Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,year
Chicago Fire,28,26.7,,30,330,2700.0,30.0,35,23,58,33,2,2,40.0,3.0,1.17,0.77,1.93,1.1,1.87,2010
Chivas USA,31,26.7,,30,330,2700.0,30.0,30,20,50,29,1,1,47.0,2.0,1.0,0.67,1.67,0.97,1.63,2010
Colorado Rapids,23,27.1,,30,330,2700.0,30.0,41,26,67,37,4,4,49.0,2.0,1.37,0.87,2.23,1.23,2.1,2010
Columbus Crew,24,27.0,,30,330,2700.0,30.0,38,18,56,33,5,7,40.0,4.0,1.27,0.6,1.87,1.1,1.7,2010
D.C. United,30,25.8,,30,330,2700.0,30.0,20,9,29,18,2,2,49.0,2.0,0.67,0.3,0.97,0.6,0.9,2010
Dynamo,25,28.1,,30,330,2700.0,30.0,39,30,69,36,3,4,46.0,8.0,1.3,1.0,2.3,1.2,2.2,2010
FC Dallas,25,27.4,,30,330,2700.0,30.0,40,23,63,32,8,9,48.0,3.0,1.33,0.77,2.1,1.07,1.83,2010
KC Wizards,23,27.2,,30,330,2700.0,30.0,35,23,58,33,2,2,46.0,4.0,1.17,0.77,1.93,1.1,1.87,2010
LA Galaxy,25,26.6,,30,330,2700.0,30.0,43,31,74,40,3,4,50.0,1.0,1.43,1.03,2.47,1.33,2.37,2010
New England,24,26.1,,30,330,2700.0,30.0,31,19,50,30,1,1,45.0,4.0,1.03,0.63,1.67,1.0,1.63,2010
NY Red Bulls,27,27.7,,30,330,2700.0,30.0,36,21,57,32,4,5,49.0,3.0,1.2,0.7,1.9,1.07,1.77,2010
Philadelphia,25,26.2,,30,330,2700.0,30.0,35,24,59,32,3,3,41.0,5.0,1.17,0.8,1.97,1.07,1.87,2010
Real Salt Lake,22,27.5,,30,330,2700.0,30.0,45,26,71,42,3,4,51.0,,1.5,0.87,2.37,1.4,2.27,2010
San Jose,28,27.3,,30,330,2700.0,30.0,34,21,55,31,3,3,40.0,4.0,1.13,0.7,1.83,1.03,1.73,2010
